AAA,ZZZi,AEl,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,Zshell,Nshell,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
20,11,20Na,13348.9,1.2,0.596,9,3.0,1.0,,,4.0,7.368062997280773,40.524346485044255,0.2,1.0,1.0
36,11,36Na, 45900.0, 690.0,,25,3.0,3.0,,,6.0,10.902723556992836,33.3138775352559,5.444444444444445,1.0,1.0
37,11,37Na, 53130.0, 690.0,,26,3.0,2.0,,,5.0,11.103702468586784,33.0110073390418,6.081081081081081,1.0,0.0
30,11,30Na,8475,5,0.15062,19,3.0,1.0,,,4.0,9.654893846056297,35.40127743553976,2.1333333333333333,1.0,1.0
26,11,26Na,-6779,4,,15,3.0,5.0,,,8.0,8.776382955329126,37.130850964854005,0.6153846153846154,1.0,1.0
20,11,20Na,6850.5,1.1,,9,3.0,1.0,,,4.0,7.368062997280773,40.524346485044255,0.2,1.0,1.0
25,11,25Na,-9357.8,1.2,0.08953,14,3.0,6.0,,,9.0,8.549879733383484,37.61947082688734,0.36,1.0,0.0
27,11,27Na,-5518,4,0.0629,16,3.0,4.0,,,7.0,8.999999999999998,36.666666666666664,0.9259259259259259,1.0,0.0
38,11,38Na, 61910.0, 720.0,,27,3.0,1.0,,,4.0,11.302878635921052,32.71885920924516,6.7368421052631575,1.0,1.0
39,11,39Na, 69980.0, 740.0,,28,3.0,0.0,,,3.0,11.500315051230226,32.43678604193141,7.410256410256411,1.0,0.0
